condition,operation,value,accuracy,auroc,f1,count,threshold,auroc_logits,tp,tn,fp,fn,ai_recall,real_recall,precision,false_positive_rate,balanced_accuracy
clean,clean,,0.9654649230546926,0.9949616055853531,0.9725129384703852,13841,5e-06,0.9949616055853531,8456,4907,91,387,0.9562365712993328,0.9817927170868347,0.9893529893529893,0.018207282913165267,0.9690146441930838
jpeg_q90,jpeg,90,0.9677046456180912,0.996486800080204,0.9742259124718907,13841,5e-06,0.9964868000802041,8448,4946,52,395,0.9553319009385955,0.9895958383353342,0.9938823529411764,0.010404161664665866,0.9724638696369649
jpeg_q70,jpeg,70,0.9653204248247959,0.9972301144816176,0.9722093561834182,13841,5e-06,0.9972301144816176,8396,4965,33,447,0.949451543593803,0.9933973589435774,0.9960849448333136,0.006602641056422569,0.9714244512686903
jpeg_q50,jpeg,50,0.9640199407557257,0.9973089880529844,0.9711170397865677,13841,5e-06,0.9973089880529843,8372,4971,27,471,0.9467375325115911,0.9945978391356542,0.9967853315870937,0.005402160864345739,0.9706676858236227
jpeg_q30,jpeg,30,0.9562892854562531,0.9961430800975823,0.9646921505690108,13841,5e-06,0.9961430800975823,8265,4971,27,578,0.9346375664367296,0.9945978391356542,0.9967438494934877,0.005402160864345739,0.964617702786192
blur_sigma0.5,blur,0.5,0.9578787659851167,0.9912448299460008,0.9664576261434901,13841,5e-06,0.9912448299460008,8399,4859,139,444,0.9497907949790795,0.97218887555022,0.9837198407121106,0.02781112444977991,0.9609898352646498
blur_sigma1,blur,1.0,0.9390217469835994,0.9850287055905704,0.9508502212904728,13841,5e-06,0.9850287055905705,8164,4833,165,679,0.9232161031324211,0.9669867947178872,0.9801896986432945,0.033013205282112844,0.9451014489251541
blur_sigma2,blur,2.0,0.9103388483491077,0.9712539431694878,0.9272098070268051,13841,5e-06,0.9712539431694877,7904,4696,302,939,0.8938143164084587,0.9395758303321329,0.9631976602485985,0.06042416966786715,0.9166950733702958
resize_0.5x,resize,0.5,0.9599739903186186,0.9940691757874698,0.9678393126668988,13841,5e-06,0.9940691757874699,8336,4951,47,507,0.9426665158882732,0.9905962384953981,0.994393415245139,0.009403761504601841,0.9666313771918357
resize_0.25x,resize,0.25,0.9386605014088577,0.9833236472243541,0.9508708986748452,13841,5e-06,0.983323647224354,8216,4776,222,627,0.9290964604772136,0.9555822328931572,0.9736904479734534,0.04441776710684274,0.9423393466851855
noise_sigma0.02,noise,0.02,0.9624304602268622,0.9952209991765563,0.9699387212394497,13841,5e-06,0.9952209991765563,8389,4932,66,454,0.9486599570281579,0.9867947178871549,0.992193968066233,0.013205282112845138,0.9677273374576564
noise_sigma0.05,noise,0.05,0.9586012571346001,0.9953376012850013,0.9666879832567874,13841,5e-06,0.995337601285001,8314,4954,44,529,0.9401786723962456,0.9911964785914366,0.9947355826752812,0.008803521408563426,0.9656875754938411
noise_sigma0.1,noise,0.1,0.9578787659851167,0.9959180551107699,0.9660394943787499,13841,5e-06,0.9959180551107699,8292,4966,32,551,0.9376908289042181,0.9935974389755903,0.996155694377703,0.006402561024409764,0.9656441339399042
color_jitter_minus0.2,color_jitter_minus,0.2,0.9387327505238061,0.9908050634027217,0.9501645510108133,13841,5e-06,0.9908050634027217,8084,4909,89,759,0.914169399525048,0.9821928771508603,0.9891104857457482,0.017807122849139656,0.9481811383379541
color_jitter_plus0.2,color_jitter_plus,0.2,0.9619247164222239,0.9924156024504114,0.9701737506367084,13841,5e-06,0.9924156024504114,8571,4743,255,272,0.9692412077349316,0.9489795918367347,0.9711080897348743,0.05102040816326531,0.9591103997858332
center_crop_0.8,crop,0.8,0.9510873491799725,0.9938407003647326,0.9604440549225826,13841,5e-06,0.9938407003647326,8219,4945,53,624,0.9294357118624901,0.9893957583033214,0.9935928433268859,0.010604241696678672,0.9594157350829058
